0201000912Srikakulam                  
0203179912      337      217      149      110
0203180912    24490    13250    14030     7790
0203181912     5480     2340     3160     1490
0203182912   161320    66740    95590    44930
0203183912   163329    56380    97809    39700
0203184912   136791    41233    85107    30125
0203185912   116489    31720    74020    24540
0203186912    86631    22401    57461    17691
0203187912   217158    59839   157447    49578
0203188912    27660     7830    20250     6780
0203189912     1920      750     1230      480
0203190912   247800   152450   124410    77230
0203192912     2550      490     1280      350
0203193912    76726    20420    47566    15570
0203194912    81926    19050    55180    15680
0203195912    65040    12850    45330    10930
0203196912    45106     7330    32960     6430
0203197912    99349    15059    80588    13778
0203198912     9490      970     8240      890
0203199912      710      200      470      130
0203200912   256936   138895   131081    71225
0203250912   468886   460882   235925   231426
0203300912  1130379   580988   459914   189513
0203301912   425348    90279   201452    31982
0203302912    85168    21325    40793     8441
0203303912   260773    45839   119721    16555
0203304912   860692   534299   335211   172568
0203305912   250808    70048   118207    23674
0203306912    39838    17425    18874     6657
0203307912     7902      580     4321      240
0203308912      300       50      180       10
0203309912      470      190      310      120
0203310912      180       20      120       10
0203311912       60       10       50       10
0203315912    61450    56720    32710    29390
0203316912    70130    65030    34940    31460
0203332912    58166    15067    30094     7528
0203340912  1538630   892472   865850   500484
0203341912   349280   203780   182810   108260
0203342912   237261   122500   148133    80690
0203343912   112484    48840    92174    42090
0203344912    36614    14240    31634    12290
0203345912     8720     4030     6580     3000
0203346912     4150     2050     3240     1670
0203347912     2960     1630     2180     1270
0203348912     1520      910     1180      740
0203349912     1350      740      980      590
0203350912      520      230      380      160
0203351912      890      520      710      430
0203352912      270      150      190      130
0203353912      200       90      110       60
0203354912       60        0       30        0
0203355912      300      170      150       80
0203359912    23390    12660    13540     7530
0203360912   183613   126803    27920    21360
0203361912      150      100       10       10
0203362912      480      330      100       80
0203363912     1930     1490      300      240
0203364912     3490     2420      710      590
0203365912     6350     4240     1110      860
0203366912     8830     5770     1440     1090
0203367912    14250     9840     2220     1620
0203368912    18150    12420     2790     4480
0203369912    31290    21860     4590     3330
0203370912    20410    14170     2960     2330
0203371912    35780    25090     4590     3680
0203372912    15633    10893     2420     1900
0203373912    15790    11010     2450     1790
0203374912     4480     9890      870      670
0203375912     6510     4250     1350      950
0203379912       90       70       10       10
0203380912    15500    11610     4660     3870
0203381912       90       90       40       40
0203382912      680      520      120      100
0203383912     1850     1330      250      200
0203384912     2640     1990      700      620
0203385912     2210     1650      490      430
0203386912     2220     1650      570      450
0203387912     1660     1240      700      560
0203388912     1210      900      460     2360
0203389912     1110      850      500      440
0203390912      570      460      270      230
0203391912      630      460      300      240
0203392912      270      210       80       70
0203393912      210      160      100       70
0203394912       50       30       30       20
0203395912       70       40       40       20
0203399912       30       30       10       10
0203415912    17509     6436    10384     4981
0203600912  1091304  1060150
0203601912   716927   436064
0203602912   732130   445975
0203607912    54275    25955
0203608912   685320   418025
0203609912    10495     7440
0203610912    12855    11200
0203611912     7980     6425
0203612912     1105      585
0203613912    18010     5500
0203614912     4075     1820
0203615912     9165     3570
0203616912     2140     1065
0203617912      750      355
0203618912     3265     2530
0203619912    35805    30945
0203620912   845240   515415
0203621912   434440   348900
0203622912   170550   112945
0203623912     9525     3330
0203624912    13620     2940
0203625912    16245     4760
0203626912      780      145
0203627912   171655    29805
0203628912    28425    12590
0203630912   424825   361130
0203631912    13105     6720
0203632912      615      255
0203633912    12525     6050
0203634912   356935   129125
0203635912    12915      635
0203636912    24320    11500
0203640912    38665    30115
0203641912   391445   316105
0203642912    11780     7415
0203643912    12300     7930
0203644912   295090   122330
0203645912     1760      450
0203646912    50930    12985
0203647912    18545     4100
0203648912       65       20
0203649912    24660    13965
0203650912   722745   447945
0203651912   572270   418940
0203652912   139515    22610
0203653912    10960     6395
0203654912   113760    78045
0203655912   419860   251615
0203656912   164130   102060
0203657912    24995    16225
0203660912       25       10
0203661912   494450   348400
0203662912   154430    79535
0203663912    43170    10645
0203664912    16080     3125
0203665912     4515      775
0203666912     4595     1270
0203667912     5480     4185
0203670912   722785   447965
0203671912   307140   115345
0203672912   148860    15955
0203681912   300740   213040
0203682912   135360    20705
0203683912   180910   116870
0203684912    52005    51675
0203685912    10945    10900
0203686912    42825    34775
0203687912   129665    18635
0203688912   593120   429330
0203689912    57125     2975
0203690912     1620      895
0203691912      365      105
0203692912     1270       90
0203693912     8445     1670
0203694912   103325     8670
0203695912   537165   424215
0203696912     2025      640
0203697912    57300     3010
0203698912    11205     8655
0203699912       65       15
0204000912East Godavari               
0204100912  4541222  3460418  2272962  1732297
0204111912  1671295  1342808  1282658  1002748
0204112912  1091466  1034530   790052   746527
